school_name,province,location_text,num_children,url
Federal Hostel at Pangnirtung (Pangnirtang),"Panniqtuuq, NU",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/northern/federal-hostel-at-pangnirtung-pangnirtang/
Federal Hostel at Payne Bay (Bellin),"Kangirsuk, QC",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/quebec/federal-hostel-at-payne-bay-bellin/
Federal Hostel at Pond Inlet (Mittimatalik),"Mittimatalik, NU",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/northern/federal-hostel-at-pond-inlet-mittimatalik/
Federal Hostel at Port Harrison (Inoucdjouac),"Inukjuak, QC",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/quebec/federal-hostel-at-port-harrison-inoucdjouac/
Federal Tent Hostel at Coppermine,"Coppermine, NU",The National Residential School Crisis Line1-866-925-4419,1,https://nctr.ca/residential-schools/northern/federal-tent-hostel-at-coppermine/
File Hills Residential School,"Balcarres, SK",The National Residential School Crisis Line1-866-925-4419,15,https://nctr.ca/residential-schools/saskatchewan/file-hills/
Fleming Hall,"Fort McPherson, NT",The National Residential School Crisis Line1-866-925-4419,1,https://nctr.ca/residential-schools/northern/fleming-hall-st-matthews-anglican-hostel/
Fort Alexander Residential School,"Fort Alexander, MB",The National Residential School Crisis Line1-866-925-4419,35,https://nctr.ca/residential-schools/manitoba/fort-alexander-pine-falls/
Fort Frances Residential School,"Fort Frances, ON",The National Residential School Crisis Line1-866-925-4419,3,https://nctr.ca/residential-schools/ontario/fort-frances-coochiching/
Fort George Hostels,"Fort George, QC",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/quebec/fort-george-hostels/
Fort George Residential School (Anglican),"Fort George, QC",The National Residential School Crisis Line1-866-925-4419,28,https://nctr.ca/residential-schools/quebec/fort-george-church-of-england-st-philips/
Fort George Residential School (Roman Catholic),"Fort George, QC",The National Residential School Crisis Line1-866-925-4419,21,https://nctr.ca/residential-schools/quebec/fort-george-roman-catholic-residence-couture/
Fort Pelly Residential School,"Fort Pelly, SK",The National Residential School Crisis Line1-866-925-4419,2,https://nctr.ca/residential-schools/saskatchewan/fort-pelly-st-philips/
Fort Vermilion Residential School,"Fort Vermilion, AB",The National Residential School Crisis Line1-866-925-4419,21,https://nctr.ca/residential-schools/alberta/fort-vermilion-st-henri/
Fort William Residential School,"Fort William, ON",The National Residential School Crisis Line1-866-925-4419,10,https://nctr.ca/residential-schools/ontario/fort-william-st-josephs/
Gordon’s Residential School,"Punnichy (Gordon’s Reserve), SK",The National Residential School Crisis Line1-866-925-4419,43,https://nctr.ca/residential-schools/saskatchewan/gordons/
Grandin College,"Fort Smith, NT",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/northern/grandin-college/
Grollier Hall,"Inuvik, NT",The National Residential School Crisis Line1-866-925-4419,5,https://nctr.ca/residential-schools/northern/grollier-hall-notre-dame-residence/
Grouard Residential School,"Grouard, AB",The National Residential School Crisis Line1-866-925-4419,15,https://nctr.ca/residential-schools/alberta/grouard-st-bernards/
Guy Hill Residential School,"The Pas, MB",The National Residential School Crisis Line1-866-925-4419,2,https://nctr.ca/residential-schools/manitoba/guy-hill-clearwater/
Hay River Residential School,"Hay River, NT",The National Residential School Crisis Line1-866-925-4419,42,https://nctr.ca/residential-schools/northern/hay-river-all-saints/
Holy Angels Residential School,"Fort Chipewyan, AB",The National Residential School Crisis Line1-866-925-4419,83,https://nctr.ca/residential-schools/alberta/holy-angels-fort-chipewyan/
Immaculate Conception Residential School (Aklavik),"Aklavik, NT",The National Residential School Crisis Line1-866-925-4419,20,https://nctr.ca/residential-schools/northern/immaculate-conception-aklavik-roman-catholic/
Joussard Residential School,"Joussard, AB",The National Residential School Crisis Line1-866-925-4419,30,https://nctr.ca/residential-schools/alberta/joussard-st-brunos/
Kamloops Residential School,"Kamloops, BC",The National Residential School Crisis Line1-866-925-4419,82,https://nctr.ca/residential-schools/british-columbia/kamloops-st-louis/
Kitimaat Residential School,"Kitimaat, BC",The National Residential School Crisis Line1-866-925-4419,12,https://nctr.ca/residential-schools/british-columbia/kitimaat-elizabeth-long-memorial-home-for-girls/
Kivalliq Hall,"Rankin Inlet, NU",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/northern/kivalliq-hall/
Kuper Island Residential School,"Kuper Island, BC",The National Residential School Crisis Line1-866-925-4419,125,https://nctr.ca/residential-schools/british-columbia/kuper-island/
La Tuque Residential School,"La Tuque, QC",The National Residential School Crisis Line1-866-925-4419,2,https://nctr.ca/residential-schools/quebec/la-tuque/
Lac la Biche Residential School,"Lac la Biche, AB",The National Residential School Crisis Line1-866-925-4419,15,https://nctr.ca/residential-schools/alberta/lac-la-biche-notre-dame-des-victoires/
Lac La Ronge Residential School,"Lac La Ronge, SK",The National Residential School Crisis Line1-866-925-4419,11,https://nctr.ca/residential-schools/saskatchewan/lac-la-ronge-all-saints/
Lapointe Hall,"Fort Simpson, NT",The National Residential School Crisis Line1-866-925-4419,1,https://nctr.ca/residential-schools/northern/lapointe-hall-deh-cho-hall/
Lebret Residential School,"Lebret, SK",The National Residential School Crisis Line1-866-925-4419,108,https://nctr.ca/residential-schools/saskatchewan/lebret-quappelle/
Lejac Residential School,"Fraser Lake, BC",The National Residential School Crisis Line1-866-925-4419,45,https://nctr.ca/residential-schools/british-columbia/lejac-stuart-lake/
Lesser Slave Lake Residential School,"Lesser Slave Lake, AB",The National Residential School Crisis Line1-866-925-4419,2,https://nctr.ca/residential-schools/alberta/lesser-slave-lake-st-peters/
Lower Post Residential School,"Lower Post, BC",The National Residential School Crisis Line1-866-925-4419,3,https://nctr.ca/residential-schools/british-columbia/lower-post/
MacKay Residential School,"The Pas / Dauphin, MB",The National Residential School Crisis Line1-866-925-4419,11,https://nctr.ca/residential-schools/manitoba/mackay-dauphin/
Marieval Residential School,"Grayson, SK",The National Residential School Crisis Line1-866-925-4419,18,https://nctr.ca/residential-schools/saskatchewan/marieval-cowesess/
McIntosh Residential School,"McIntosh, ON",The National Residential School Crisis Line1-866-925-4419,45,https://nctr.ca/residential-schools/ontario/mcintosh-kenora/
Mistassini Hostels,"Mistassini, QC",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/quebec/mistassini-hostels/
Mohawk Institute,"Brantford, ON",The National Residential School Crisis Line1-866-925-4419,47,https://nctr.ca/residential-schools/ontario/mohawk-institute-mechanics-institute/
Morley Residential School,"Morley, AB",The National Residential School Crisis Line1-866-925-4419,16,https://nctr.ca/residential-schools/alberta/morley-stony/
Mount Elgin Residential School,"Munceytown, ON",The National Residential School Crisis Line1-866-925-4419,16,https://nctr.ca/residential-schools/ontario/mount-elgin-muncey/
Muscowequan Residential School,"Lestock, SK",The National Residential School Crisis Line1-866-925-4419,35,https://nctr.ca/residential-schools/saskatchewan/muscowequan-touchwood/
Norway House Residential School,"Norway House, MB",The National Residential School Crisis Line1-866-925-4419,23,https://nctr.ca/residential-schools/manitoba/norway-house-rossville/
Notre Dame Hostel (Jack River Annex),"Cross Lake, MB",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/manitoba/notre-dame-hostel-jack-river-annex/
Old Sun Residential School,"Gleichen, AB",The National Residential School Crisis Line1-866-925-4419,41,https://nctr.ca/residential-schools/alberta/old-sun-blackfoot/
Onion Lake (Saint Barnabus; St. Alban’s),"Prince Albert, SK",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/saskatchewan/onion-lake-saint-barnabus-st-albans/
Pelican Lake Residential School,"Sioux Lookout, ON",The National Residential School Crisis Line1-866-925-4419,26,https://nctr.ca/residential-schools/ontario/pelican-lake-pelican-falls/
Pine Creek Residential School,"Camperville, MB",The National Residential School Crisis Line1-866-925-4419,50,https://nctr.ca/residential-schools/manitoba/pine-creek-camperville/
Pointe Bleue Residential School,"Pointe Bleue, QC",The National Residential School Crisis Line1-866-925-4419,1,https://nctr.ca/residential-schools/quebec/pointe-bleue/
Poplar Hill,"Poplar Hill, ON",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/ontario/poplar-hill/
Port Simpson Residential School,"Port Simpson, BC",The National Residential School Crisis Line1-866-925-4419,3,https://nctr.ca/residential-schools/british-columbia/port-simpson-crosby-home-for-girls/
Portage la Prairie Residential School,"Portage la Prairie, MB",The National Residential School Crisis Line1-866-925-4419,5,https://nctr.ca/residential-schools/manitoba/portage-la-prairie/
Prince Albert Residential School,"Prince Albert, SK",The National Residential School Crisis Line1-866-925-4419,18,https://nctr.ca/residential-schools/saskatchewan/prince-albert/
Red Deer Industrial School,"Red Deer, Alberta",The National Residential School Crisis Line1-866-925-4419,60,https://nctr.ca/residential-schools/alberta/red-deer-industrial-school/
Regina Residential School,"Regina, SK",The National Residential School Crisis Line1-866-925-4419,24,https://nctr.ca/residential-schools/saskatchewan/regina-residential-school/
Round Lake Residential School,"Stockholm, SK",The National Residential School Crisis Line1-866-925-4419,5,https://nctr.ca/residential-schools/saskatchewan/round-lake/
Sacred Heart Residential School (Peigan),"Brocket, AB",The National Residential School Crisis Line1-866-925-4419,41,https://nctr.ca/residential-schools/alberta/sacred-heart-peigan/
Sacred Heart Residential School (Providence Mission),"Fort Providence, NT",The National Residential School Crisis Line1-866-925-4419,88,https://nctr.ca/residential-schools/northern/sacred-heart-providence-mission/
Sandy Bay Residential School,"Marius, MB",The National Residential School Crisis Line1-866-925-4419,22,https://nctr.ca/residential-schools/manitoba/sandy-bay/
Sarcee Residential School,"Sarcee Junction (T’suu Tina), AB",The National Residential School Crisis Line1-866-925-4419,35,https://nctr.ca/residential-schools/alberta/sarcee-st-barnabas/
Sechelt Residential School,"Sechelt, BC",The National Residential School Crisis Line1-866-925-4419,12,https://nctr.ca/residential-schools/british-columbia/sechelt-st-augustines/
Sept-Îles Residential School,"Sept-Iles, QC",The National Residential School Crisis Line1-866-925-4419,1,https://nctr.ca/residential-schools/quebec/sept-iles-maliotenam/
Shingle Point Residential School,"Shingle Point, YT",The National Residential School Crisis Line1-866-925-4419,4,https://nctr.ca/residential-schools/northern/shingle-point-st-johns/
Shingwauk Residential School,"Sault Ste. Marie, ON",The National Residential School Crisis Line1-866-925-4419,87,https://nctr.ca/residential-schools/ontario/shingwauk-wawanosh/
Shubenacadie Residential School,"Shubenacadie, NS",The National Residential School Crisis Line1-866-925-4419,23,https://nctr.ca/residential-schools/atlantic/shubenacadie-st-annes-convent/
Spanish Boys School,"Spanish, ON",The National Residential School Crisis Line1-866-925-4419,58,https://nctr.ca/residential-schools/ontario/spanish-boys-school-st-peter-claver/
Spanish Girls School,"Spanish, ON",The National Residential School Crisis Line1-866-925-4419,56,https://nctr.ca/residential-schools/ontario/spanish-girls-school-st-annes/
St. Albert Residential School (Youville),"Youville, AB",The National Residential School Crisis Line1-866-925-4419,73,https://nctr.ca/residential-schools/alberta/st-albert-youville/
St. Anne’s Residential School (Fort Albany),"Fort Albany, ON",The National Residential School Crisis Line1-866-925-4419,32,https://nctr.ca/residential-schools/ontario/st-annes-fort-albany/
St. Anthony’s Residential School (Sacred Heart),"Onion Lake, SK",The National Residential School Crisis Line1-866-925-4419,109,https://nctr.ca/residential-schools/saskatchewan/st-anthonys-sacred-heart/
St. Augustine Residential School (Smoky River),"Smoky River / Peace River, AB",The National Residential School Crisis Line1-866-925-4419,4,https://nctr.ca/residential-schools/alberta/st-augustine-smoky-river/
St. Cyprian’s Residential School (Peigan),"Brocket (Peigan Reserve), AB",The National Residential School Crisis Line1-866-925-4419,25,https://nctr.ca/residential-schools/alberta/st-cyprians-queen-victorias-jubilee-home/
St. George’s Residential School (Lytton),"Lytton, BC",The National Residential School Crisis Line1-866-925-4419,78,https://nctr.ca/residential-schools/british-columbia/st-georges-lytton/
St. Joseph’s Residential School (Dunbow),"High River, AB",The National Residential School Crisis Line1-866-925-4419,59,https://nctr.ca/residential-schools/alberta/st-josephs-dunbow/
St. Joseph’s Residential School (Fort Resolution),"Fort Resolution, NT",The National Residential School Crisis Line1-866-925-4419,67,https://nctr.ca/residential-schools/northern/st-josephs-fort-resolution/
St. Mary’s Residential School (Blood),"Cardston, AB",The National Residential School Crisis Line1-866-925-4419,49,https://nctr.ca/residential-schools/alberta/st-marys-blood/
St. Mary’s Residential School (Kenora),"Kenora, ON",The National Residential School Crisis Line1-866-925-4419,46,https://nctr.ca/residential-schools/ontario/st-marys-residential-school-kenora/
St. Mary’s Residential School (Mission),"Mission, BC",The National Residential School Crisis Line1-866-925-4419,18,https://nctr.ca/residential-schools/british-columbia/st-marys-mission/
St. Michael’s Residential School (Alert Bay),"Alert Bay, BC",The National Residential School Crisis Line1-866-925-4419,18,https://nctr.ca/residential-schools/british-columbia/st-michaels-alert-bay/
St. Michael’s Residential School (Duck Lake),"Duck Lake, SK",The National Residential School Crisis Line1-866-925-4419,108,https://nctr.ca/residential-schools/saskatchewan/st-michaels-duck-lake/
St. Paul’s Hostel (Dawson City),"Dawson City, YT",The National Residential School Crisis Line1-866-925-4419,6,https://nctr.ca/residential-schools/northern/st-pauls-hostel/
St. Paul’s Residential School (Blood),"Cardston, AB",The National Residential School Crisis Line1-866-925-4419,78,https://nctr.ca/residential-schools/alberta/st-pauls-blood/
St. Paul’s Residential School (Squamish),"North Vancouver, BC",The National Residential School Crisis Line1-866-925-4419,4,https://nctr.ca/residential-schools/british-columbia/st-pauls-squamish/
St. Philip’s Residential School (Kamsack),"Kamsack, SK",The National Residential School Crisis Line1-866-925-4419,6,https://nctr.ca/residential-schools/saskatchewan/st-philips-kamsack/
Stirland Lake High School (Wahbon Bay Academy),"Stirland Lake, ON",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/ontario/stirland-lake-high-school-wahbon-bay-academy/
Stringer Hall,"Inuvik, NT",The National Residential School Crisis Line1-866-925-4419,4,https://nctr.ca/residential-schools/northern/stringer-hall-inuvik-anglican-hostel/
Sturgeon Lake Residential School,"Calais, AB",The National Residential School Crisis Line1-866-925-4419,45,https://nctr.ca/residential-schools/alberta/sturgeon-lake-calais/
Sturgeon Landing Residential School,"Sturgeon Landing, SK",The National Residential School Crisis Line1-866-925-4419,45,https://nctr.ca/residential-schools/saskatchewan/sturgeon-landing/
Thunderchild Residential School,"Delmas, SK",The National Residential School Crisis Line1-866-925-4419,23,https://nctr.ca/residential-schools/saskatchewan/thunderchild-st-henri/
Wabasca Residential School (Athabasca Landing),"Wabasca, AB",The National Residential School Crisis Line1-866-925-4419,11,https://nctr.ca/residential-schools/alberta/wabasca-st-johns/
Wawanosh Home,"Sault Ste. Marie, ON",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/ontario/wawanosh-home/
Whitefish Lake Residential School,"Whitefish Lake, AB",The National Residential School Crisis Line1-866-925-4419,4,https://nctr.ca/residential-schools/alberta/whitefish-lake-st-andrews/
Whitehorse Baptist Residential School,"Whitehorse, YT",The National Residential School Crisis Line1-866-925-4419,1,https://nctr.ca/residential-schools/northern/whitehorse-baptist-lee-school/
Yukon Hall (Whitehorse),"Whitehorse, YT",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/northern/yukon-hall-whitehorse/
